name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,brand
HYUNDAI VERNA VTVT 1.6 AT SX OPTION,2017,1100000,10000,PETROL,INDIVIDUAL,AUTOMATIC,FIRST OWNER,HYUNDAI
MERCEDES-BENZ GL-CLASS 350 CDI BLUE EFFICIENCY,2014,4400000,100000,DIESEL,INDIVIDUAL,AUTOMATIC,SECOND OWNER,MERCEDES-BENZ
MARUTI SWIFT ZXI BSIV,2016,670000,7104,PETROL,TRUSTMARK DEALER,MANUAL,FIRST OWNER,MARUTI
MARUTI S-CROSS ZETA DDIS 200 SH,2015,750000,45974,DIESEL,TRUSTMARK DEALER,MANUAL,FIRST OWNER,MARUTI
HYUNDAI VERNA 1.6 VTVT SX,2015,760000,55340,PETROL,TRUSTMARK DEALER,MANUAL,FIRST OWNER,HYUNDAI
VOLKSWAGEN POLO GTI,2017,850000,20000,PETROL,DEALER,AUTOMATIC,SECOND OWNER,VOLKSWAGEN
RENAULT PULSE RXL,2015,390000,61585,DIESEL,TRUSTMARK DEALER,MANUAL,FIRST OWNER,RENAULT
MARUTI CELERIO VXI AMT BSIV,2016,450000,39415,PETROL,TRUSTMARK DEALER,AUTOMATIC,SECOND OWNER,MARUTI
HONDA BRIO V MT,2014,425000,29654,PETROL,TRUSTMARK DEALER,MANUAL,FIRST OWNER,HONDA
MARUTI BALENO ALPHA 1.3,2016,770000,64672,DIESEL,TRUSTMARK DEALER,MANUAL,FIRST OWNER,MARUTI
HYUNDAI CRETA 1.6 SX AUTOMATIC DIESEL,2015,1150000,54634,DIESEL,TRUSTMARK DEALER,AUTOMATIC,SECOND OWNER,HYUNDAI
HONDA CITY I VTEC V,2015,775000,66521,PETROL,TRUSTMARK DEALER,MANUAL,FIRST OWNER,HONDA
TOYOTA INNOVA CRYSTA 2.4 GX AT,2018,1725000,23974,DIESEL,DEALER,AUTOMATIC,SECOND OWNER,TOYOTA
BMW 3 SERIES 320D LUXURY LINE,2016,2150000,43000,DIESEL,DEALER,AUTOMATIC,FIRST OWNER,BMW
RENAULT DUSTER 85PS DIESEL RXL,2013,450000,1000,DIESEL,DEALER,MANUAL,SECOND OWNER,RENAULT
MERCEDES-BENZ C-CLASS PROGRESSIVE C 220D,2018,3800000,10000,DIESEL,DEALER,AUTOMATIC,FIRST OWNER,MERCEDES-BENZ
AUDI A4 3.0 TDI QUATTRO,2013,1580000,86000,DIESEL,DEALER,AUTOMATIC,FIRST OWNER,AUDI
BMW X5 XDRIVE 30D XLINE,2019,4950000,30000,DIESEL,DEALER,AUTOMATIC,FIRST OWNER,BMW
HYUNDAI CRETA 1.6 CRDI SX,2016,535000,52600,DIESEL,INDIVIDUAL,MANUAL,FIRST OWNER,HYUNDAI
MARUTI SX4 VXI BSIV,2012,225000,110000,PETROL,INDIVIDUAL,MANUAL,SECOND OWNER,MARUTI
HYUNDAI GRAND I10 1.2 KAPPA MAGNA AT,2017,550000,19890,PETROL,DEALER,AUTOMATIC,FIRST OWNER,HYUNDAI
MARUTI ERTIGA VXI,2015,625000,11918,PETROL,TRUSTMARK DEALER,MANUAL,FIRST OWNER,MARUTI
HYUNDAI GRAND I10 MAGNA AT,2017,520000,10510,PETROL,DEALER,AUTOMATIC,FIRST OWNER,HYUNDAI
CHEVROLET BEAT LT OPTION,2016,239000,41000,PETROL,DEALER,MANUAL,FIRST OWNER,CHEVROLET
TOYOTA FORTUNER 4X2 AT,2017,2600000,47162,DIESEL,TRUSTMARK DEALER,AUTOMATIC,FIRST OWNER,TOYOTA
HYUNDAI I10 MAGNA,2012,229999,49824,PETROL,DEALER,MANUAL,FIRST OWNER,HYUNDAI
AUDI A6 2.0 TDI PREMIUM PLUS,2013,1300000,58500,DIESEL,DEALER,AUTOMATIC,FIRST OWNER,AUDI
HYUNDAI SANTRO GS,2005,80000,56580,PETROL,DEALER,MANUAL,FIRST OWNER,HYUNDAI
SKODA LAURA AMBIENTE 2.0 TDI CR MT,2012,385000,52000,DIESEL,DEALER,MANUAL,FIRST OWNER,SKODA
MARUTI SWIFT DZIRE VDI,2017,600000,46507,DIESEL,TRUSTMARK DEALER,MANUAL,FIRST OWNER,MARUTI
HYUNDAI I20 SPORTZ 1.2,2013,350000,50000,PETROL,INDIVIDUAL,MANUAL,SECOND OWNER,HYUNDAI
MARUTI ALTO 800 LXI,2014,114999,30000,PETROL,INDIVIDUAL,MANUAL,FIRST OWNER,MARUTI
HYUNDAI I20 SPORTZ 1.2,2013,380000,50000,PETROL,INDIVIDUAL,MANUAL,SECOND OWNER,HYUNDAI
MARUTI GYPSY E MG410W ST,1995,95000,100000,PETROL,INDIVIDUAL,MANUAL,SECOND OWNER,MARUTI
MAHINDRA SCORPIO 1.99 S6 PLUS,2016,900000,35000,DIESEL,INDIVIDUAL,MANUAL,FIRST OWNER,MAHINDRA
CHEVROLET BEAT LT,2012,200999,90000,PETROL,INDIVIDUAL,MANUAL,SECOND OWNER,CHEVROLET
MARUTI OMNI E MPI STD BS IV,2014,229999,11451,PETROL,INDIVIDUAL,MANUAL,FIRST OWNER,MARUTI
TATA NEXON 1.5 REVOTORQ XZ,2019,800000,60000,DIESEL,INDIVIDUAL,MANUAL,FIRST OWNER,TATA
MAHINDRA VERITO 1.5 D4 BSIV,2012,150000,172000,DIESEL,INDIVIDUAL,MANUAL,SECOND OWNER,MAHINDRA
MARUTI SWIFT VDI,2018,600000,60000,DIESEL,INDIVIDUAL,MANUAL,FIRST OWNER,MARUTI
CHEVROLET TAVERA LS B3 7 SEATS BSII,2005,150000,150000,DIESEL,INDIVIDUAL,MANUAL,FIRST OWNER,CHEVROLET
CHEVROLET OPTRA MAGNUM 2.0 LS,2009,150000,66000,DIESEL,INDIVIDUAL,MANUAL,FIRST OWNER,CHEVROLET
MARUTI EECO 5 SEATER STANDARD BSIV,2019,380000,5000,PETROL,INDIVIDUAL,MANUAL,FIRST OWNER,MARUTI
MARUTI SWIFT 1.3 VXI,2006,80000,66508,PETROL,INDIVIDUAL,MANUAL,SECOND OWNER,MARUTI
HONDA CIVIC 1.8 MT SPORT,2007,225000,55000,PETROL,INDIVIDUAL,MANUAL,SECOND OWNER,HONDA
TATA NANO LX BSIV,2012,75000,29900,PETROL,INDIVIDUAL,MANUAL,FIRST OWNER,TATA
TATA HEXA XT 4X4,2017,1600000,3000,DIESEL,INDIVIDUAL,MANUAL,FIRST OWNER,TATA
TATA INDICA VISTA QUADRAJET VX,2012,185000,85000,DIESEL,INDIVIDUAL,MANUAL,FIRST OWNER,TATA
MAHINDRA SCORPIO 2.6 CRDE SLE,2011,425000,50000,DIESEL,INDIVIDUAL,MANUAL,FIRST OWNER,MAHINDRA
TATA INDICA VISTA AQUA 1.4 TDI,2010,100000,120000,DIESEL,INDIVIDUAL,MANUAL,SECOND OWNER,TATA
MARUTI ZEN ESTILO LXI BSIII,2008,140000,90000,PETROL,INDIVIDUAL,MANUAL,THIRD OWNER,MARUTI
MARUTI SWIFT DZIRE AMT ZXI PLUS BS IV,2017,710000,8000,PETROL,INDIVIDUAL,AUTOMATIC,FIRST OWNER,MARUTI
HONDA AMAZE S AT I-VTECH,2015,450000,7900,PETROL,INDIVIDUAL,AUTOMATIC,FIRST OWNER,HONDA
DATSUN REDIGO T OPTION,2017,210000,50000,PETROL,INDIVIDUAL,MANUAL,FIRST OWNER,DATSUN
MARUTI ALTO K10 VXI,2016,270000,25000,PETROL,INDIVIDUAL,MANUAL,FIRST OWNER,MARUTI
MARUTI ALTO LXI,2009,110000,20000,PETROL,INDIVIDUAL,MANUAL,FIRST OWNER,MARUTI
MARUTI SWIFT VXI,2018,540000,17500,PETROL,INDIVIDUAL,MANUAL,FIRST OWNER,MARUTI
MAHINDRA RENAULT LOGAN 1.4 GLX PETROL,2008,145000,25000,PETROL,INDIVIDUAL,MANUAL,FIRST OWNER,MAHINDRA
TATA SAFARI STORME VX,2013,360000,206500,DIESEL,INDIVIDUAL,MANUAL,FIRST OWNER,TATA
HYUNDAI I10 MAGNA LPG,2013,250000,88600,LPG,INDIVIDUAL,MANUAL,FIRST OWNER,HYUNDAI
TATA VENTURE EX,2012,110000,80000,DIESEL,INDIVIDUAL,MANUAL,FIRST OWNER,TATA
CHEVROLET CAPTIVA LT,2008,250000,100000,DIESEL,INDIVIDUAL,MANUAL,FOURTH & ABOVE OWNER,CHEVROLET
FORD FIESTA CLASSIC 1.4 DURATORQ CLXI,2011,150000,186000,DIESEL,INDIVIDUAL,MANUAL,SECOND OWNER,FORD
CHEVROLET AVEO U-VA 1.2 LS,2010,140000,60000,PETROL,INDIVIDUAL,MANUAL,FIRST OWNER,CHEVROLET
MARUTI CIAZ ZETA BSIV,2019,925000,11000,PETROL,INDIVIDUAL,MANUAL,FIRST OWNER,MARUTI
TATA HEXA XM,2017,969999,30000,DIESEL,INDIVIDUAL,MANUAL,FIRST OWNER,TATA
HYUNDAI SANTRO XING GL PLUS CNG,2007,90000,80000,CNG,INDIVIDUAL,MANUAL,THIRD OWNER,HYUNDAI
HYUNDAI SANTRO GLS I - EURO I,2001,55000,60000,PETROL,INDIVIDUAL,MANUAL,THIRD OWNER,HYUNDAI
HYUNDAI VERNA CRDI,2007,155000,100000,DIESEL,INDIVIDUAL,MANUAL,FOURTH & ABOVE OWNER,HYUNDAI
MAHINDRA THAR CRDE ABS,2019,900000,15000,DIESEL,INDIVIDUAL,MANUAL,FIRST OWNER,MAHINDRA
MARUTI ALTO K10 2010-2014 VXI,2011,135000,90000,PETROL,INDIVIDUAL,MANUAL,FIRST OWNER,MARUTI
MARUTI 800 AC,2012,180000,120000,PETROL,INDIVIDUAL,MANUAL,FIRST OWNER,MARUTI
HYUNDAI VERNA 1.6 SX,2013,495000,100000,DIESEL,INDIVIDUAL,MANUAL,SECOND OWNER,HYUNDAI
TOYOTA INNOVA 2.5 V DIESEL 8-SEATER,2009,400000,138000,DIESEL,INDIVIDUAL,MANUAL,THIRD OWNER,TOYOTA
HYUNDAI VERNA CRDI,2008,250000,110000,DIESEL,INDIVIDUAL,MANUAL,SECOND OWNER,HYUNDAI
MARUTI ALTO K10 LXI,2015,138000,120000,PETROL,INDIVIDUAL,MANUAL,FOURTH & ABOVE OWNER,MARUTI
HONDA CITY 1.5 V AT,2011,311000,70000,PETROL,INDIVIDUAL,AUTOMATIC,SECOND OWNER,HONDA
MARUTI ALTO 800 VXI,2015,190000,70000,PETROL,INDIVIDUAL,MANUAL,FIRST OWNER,MARUTI
MAHINDRA BOLERO SLX,2011,311000,140000,DIESEL,INDIVIDUAL,MANUAL,FIRST OWNER,MAHINDRA
MARUTI RITZ LXI,2009,300000,15000,PETROL,INDIVIDUAL,MANUAL,FIRST OWNER,MARUTI
HONDA JAZZ VX,2018,600000,20000,PETROL,INDIVIDUAL,MANUAL,FIRST OWNER,HONDA
MAHINDRA SCORPIO SLE BSIII,2009,550000,100000,DIESEL,INDIVIDUAL,MANUAL,FIRST OWNER,MAHINDRA
SKODA RAPID 1.6 MPI AT ELEGANCE PLUS,2015,600000,70000,PETROL,INDIVIDUAL,AUTOMATIC,FIRST OWNER,SKODA
MARUTI ALTO 800 VXI,2018,195000,5000,PETROL,INDIVIDUAL,MANUAL,FIRST OWNER,MARUTI
TATA NANO LX,2013,58000,27974,PETROL,INDIVIDUAL,MANUAL,FIRST OWNER,TATA
MARUTI ALTO 800 VXI,2018,183000,40000,PETROL,INDIVIDUAL,MANUAL,FIRST OWNER,MARUTI
MARUTI ZEN ESTILO 1.1 VXI BSIII,2007,95000,80000,PETROL,INDIVIDUAL,MANUAL,FIRST OWNER,MARUTI
MARUTI WAGON R LX MINOR,2013,250000,38000,PETROL,INDIVIDUAL,MANUAL,FIRST OWNER,MARUTI
TATA ZEST REVOTRON 1.2 XT,2014,400000,35000,PETROL,INDIVIDUAL,MANUAL,FIRST OWNER,TATA
HYUNDAI VERNA 1.6 SX CRDI (O),2012,409999,60000,DIESEL,INDIVIDUAL,MANUAL,SECOND OWNER,HYUNDAI
SKODA OCTAVIA CLASSIC 1.9 TDI MT,2004,120000,120000,DIESEL,INDIVIDUAL,MANUAL,SECOND OWNER,SKODA
MARUTI SWIFT AMT VXI,2018,600000,18000,PETROL,INDIVIDUAL,AUTOMATIC,FIRST OWNER,MARUTI
HONDA AMAZE SX I-VTEC,2016,600000,10000,PETROL,INDIVIDUAL,MANUAL,FIRST OWNER,HONDA
MAHINDRA XUV500 W6 2WD,2015,825000,90000,DIESEL,INDIVIDUAL,MANUAL,THIRD OWNER,MAHINDRA
TOYOTA ETIOS GD,2016,625000,80000,DIESEL,INDIVIDUAL,MANUAL,SECOND OWNER,TOYOTA
HYUNDAI GRAND I10 NIOS MAGNA CRDI,2020,700000,1400,DIESEL,INDIVIDUAL,MANUAL,FIRST OWNER,HYUNDAI
CHEVROLET BEAT LS,2011,160000,60000,PETROL,INDIVIDUAL,MANUAL,FIRST OWNER,CHEVROLET
MARUTI ALTO LX,2011,114999,60000,PETROL,INDIVIDUAL,MANUAL,THIRD OWNER,MARUTI
MARUTI WAGON R LXI MINOR,2009,150000,53000,PETROL,INDIVIDUAL,MANUAL,FIRST OWNER,MARUTI
VOLKSWAGEN JETTA 1.9 L TDI,2010,250000,100000,DIESEL,DEALER,MANUAL,FIRST OWNER,VOLKSWAGEN
HYUNDAI VERNA 1.6 SX,2012,390000,86000,DIESEL,DEALER,MANUAL,SECOND OWNER,HYUNDAI
RENAULT DUSTER 85PS DIESEL RXL,2015,650000,100000,DIESEL,INDIVIDUAL,MANUAL,FIRST OWNER,RENAULT
HYUNDAI XCENT 1.1 CRDI SX OPTION,2016,600000,30000,DIESEL,INDIVIDUAL,MANUAL,FIRST OWNER,HYUNDAI
HYUNDAI I20 1.2 SPORTZ,2011,250000,120000,PETROL,INDIVIDUAL,MANUAL,FIRST OWNER,HYUNDAI
HYUNDAI SANTRO XING GL PLUS LPG,2011,229999,60000,LPG,INDIVIDUAL,MANUAL,SECOND OWNER,HYUNDAI
MARUTI RITZ LDI,2016,299000,50000,DIESEL,INDIVIDUAL,MANUAL,SECOND OWNER,MARUTI
CHEVROLET CRUZE LTZ,2010,330000,124000,DIESEL,INDIVIDUAL,MANUAL,SECOND OWNER,CHEVROLET
HYUNDAI ACCENT EXECUTIVE,2012,180000,100000,PETROL,INDIVIDUAL,MANUAL,THIRD OWNER,HYUNDAI
HYUNDAI GRAND I10 1.2 KAPPA ASTA,2017,475000,42000,PETROL,INDIVIDUAL,MANUAL,FIRST OWNER,HYUNDAI
HYUNDAI GRAND I10 CRDI SPORTZ,2015,325000,100000,DIESEL,INDIVIDUAL,MANUAL,FIRST OWNER,HYUNDAI
HONDA CITY I VTEC V,2016,639000,28205,PETROL,DEALER,MANUAL,FIRST OWNER,HONDA
MARUTI CELERIO VXI AT,2017,415000,32670,PETROL,DEALER,AUTOMATIC,FIRST OWNER,MARUTI
HYUNDAI CRETA 1.6 CRDI AT SX PLUS,2016,1199000,30093,DIESEL,DEALER,AUTOMATIC,FIRST OWNER,HYUNDAI
MARUTI ERTIGA VXI CNG,2013,525000,56228,CNG,DEALER,MANUAL,FIRST OWNER,MARUTI
HYUNDAI VERNA 1.6 SX VTVT,2013,425000,59319,PETROL,DEALER,MANUAL,FIRST OWNER,HYUNDAI
MARUTI VITARA BREZZA VDI,2016,699000,39503,DIESEL,DEALER,MANUAL,FIRST OWNER,MARUTI
HYUNDAI GRAND I10 1.2 KAPPA SPORTZ DUAL TONE,2013,325000,35299,PETROL,DEALER,MANUAL,FIRST OWNER,HYUNDAI
TOYOTA ETIOS V,2011,275000,51687,PETROL,DEALER,MANUAL,FIRST OWNER,TOYOTA
VOLKSWAGEN VENTO PETROL HIGHLINE AT,2011,269000,76259,PETROL,DEALER,AUTOMATIC,FIRST OWNER,VOLKSWAGEN
VOLKSWAGEN POLO DIESEL HIGHLINE 1.2L,2013,399000,44049,DIESEL,DEALER,MANUAL,FIRST OWNER,VOLKSWAGEN
MAHINDRA KUV 100 MFALCON D75 K8,2017,475000,45087,DIESEL,DEALER,MANUAL,FIRST OWNER,MAHINDRA
TOYOTA ETIOS V,2011,249000,41125,PETROL,DEALER,MANUAL,FIRST OWNER,TOYOTA
AUDI A4 NEW  2.0 TDI MULTITRONIC,2014,1549000,42215,DIESEL,DEALER,AUTOMATIC,FIRST OWNER,AUDI
VOLKSWAGEN POLO PETROL HIGHLINE 1.2L,2011,254999,54206,PETROL,DEALER,MANUAL,FIRST OWNER,VOLKSWAGEN
SKODA RAPID 1.6 MPI ACTIVE,2012,269000,52547,PETROL,DEALER,MANUAL,FIRST OWNER,SKODA
MARUTI ERTIGA ZDI,2014,665000,59110,DIESEL,DEALER,MANUAL,FIRST OWNER,MARUTI
MARUTI WAGON R STINGRAY LXI,2014,299000,54565,PETROL,DEALER,MANUAL,FIRST OWNER,MARUTI
HYUNDAI I20 ASTA,2010,265000,47564,PETROL,DEALER,MANUAL,SECOND OWNER,HYUNDAI
VOLKSWAGEN POLO PETROL HIGHLINE 1.2L,2010,211000,45143,PETROL,DEALER,MANUAL,SECOND OWNER,VOLKSWAGEN
SKODA SUPERB 1.8 TSI,2013,599000,61624,PETROL,DEALER,AUTOMATIC,SECOND OWNER,SKODA
TATA INDIGO LS,2007,55000,195000,DIESEL,INDIVIDUAL,MANUAL,THIRD OWNER,TATA
HYUNDAI VERNA 1.6 SX CRDI (O),2014,550000,50000,DIESEL,INDIVIDUAL,MANUAL,FIRST OWNER,HYUNDAI
LAND ROVER DISCOVERY SPORT TD4 HSE 7S,2018,4000000,68000,DIESEL,INDIVIDUAL,AUTOMATIC,FIRST OWNER,LAND
TATA SUMO GX TC 8 STR,2010,220000,120000,DIESEL,INDIVIDUAL,MANUAL,SECOND OWNER,TATA
MARUTI SWIFT VXI,2019,500000,20000,PETROL,INDIVIDUAL,MANUAL,FIRST OWNER,MARUTI
MARUTI ALTO LXI,2010,140000,30000,PETROL,INDIVIDUAL,MANUAL,FIRST OWNER,MARUTI
MARUTI SWIFT VDI,2013,325000,60000,DIESEL,INDIVIDUAL,MANUAL,FIRST OWNER,MARUTI
HYUNDAI I20 MAGNA,2010,210000,90000,PETROL,INDIVIDUAL,MANUAL,THIRD OWNER,HYUNDAI
MARUTI ALTO LXI,2008,110000,90000,PETROL,INDIVIDUAL,MANUAL,SECOND OWNER,MARUTI
HYUNDAI VERNA CRDI 1.6 SX OPTION,2019,1200000,25000,DIESEL,INDIVIDUAL,MANUAL,FIRST OWNER,HYUNDAI
MARUTI ALTO 800 VXI,2017,229999,40000,PETROL,INDIVIDUAL,MANUAL,FIRST OWNER,MARUTI
MARUTI ALTO 800 LXI,2006,165000,132000,PETROL,INDIVIDUAL,MANUAL,FIRST OWNER,MARUTI
TATA TIAGO XZA AMT,2018,525000,10980,PETROL,DEALER,AUTOMATIC,FIRST OWNER,TATA
HYUNDAI EON ERA PLUS,2018,325000,20629,PETROL,DEALER,MANUAL,FIRST OWNER,HYUNDAI
TOYOTA INNOVA CRYSTA 2.4 VX MT BSIV,2018,1500000,50000,DIESEL,INDIVIDUAL,MANUAL,FIRST OWNER,TOYOTA
HYUNDAI GRAND I10 AT ASTA,2015,400000,30000,PETROL,INDIVIDUAL,AUTOMATIC,FIRST OWNER,HYUNDAI
MARUTI CIAZ VXI,2015,550000,69782,PETROL,DEALER,MANUAL,FIRST OWNER,MARUTI
MARUTI 800 STD,2003,98000,54000,PETROL,INDIVIDUAL,MANUAL,FIRST OWNER,MARUTI
MAHINDRA XUV500 W8 4WD,2013,900000,63654,DIESEL,DEALER,MANUAL,FIRST OWNER,MAHINDRA
RENAULT LODGY 85PS RXL,2017,700000,60000,DIESEL,INDIVIDUAL,MANUAL,FIRST OWNER,RENAULT
MAHINDRA SCORPIO S6 PLUS 7 SEATER,2015,890000,52000,DIESEL,DEALER,MANUAL,FIRST OWNER,MAHINDRA
MARUTI SWIFT LDI BSIV,2015,490000,59385,DIESEL,DEALER,MANUAL,FIRST OWNER,MARUTI
HYUNDAI I20 2015-2017 MAGNA 1.2,2015,525000,70378,PETROL,DEALER,MANUAL,FIRST OWNER,HYUNDAI
MARUTI WAGON R LXI BS IV,2013,330000,55425,PETROL,DEALER,MANUAL,FIRST OWNER,MARUTI
MAHINDRA BOLERO 2011-2019 SLX 2WD BSIII,2013,550000,78413,DIESEL,DEALER,MANUAL,SECOND OWNER,MAHINDRA
MAHINDRA BOLERO POWER PLUS SLX,2018,790000,40890,DIESEL,DEALER,MANUAL,FIRST OWNER,MAHINDRA
HONDA BRIO S MT,2015,350000,34823,PETROL,DEALER,MANUAL,SECOND OWNER,HONDA
TOYOTA INNOVA CRYSTA 2.8 ZX AT BSIV,2017,1700000,75000,DIESEL,INDIVIDUAL,AUTOMATIC,FIRST OWNER,TOYOTA
MARUTI CIAZ VDI SHVS,2017,750000,55545,DIESEL,DEALER,MANUAL,FIRST OWNER,MARUTI
HONDA AMAZE EX I-DTECH,2014,409999,56541,DIESEL,DEALER,MANUAL,FIRST OWNER,HONDA
HYUNDAI EON MAGNA PLUS,2016,220000,43700,PETROL,INDIVIDUAL,MANUAL,FIRST OWNER,HYUNDAI
TATA INDICA GLS BS IV,2009,68000,120000,PETROL,INDIVIDUAL,MANUAL,SECOND OWNER,TATA
HYUNDAI EON ERA PLUS,2017,290000,20000,PETROL,INDIVIDUAL,MANUAL,FIRST OWNER,HYUNDAI
HONDA CITY I DTEC SV,2014,600000,27483,DIESEL,DEALER,MANUAL,FIRST OWNER,HONDA
MARUTI SWIFT LXI,2019,470000,8000,PETROL,INDIVIDUAL,MANUAL,FIRST OWNER,MARUTI
HYUNDAI I10 SPORTZ 1.2,2008,150000,30000,PETROL,INDIVIDUAL,MANUAL,FIRST OWNER,HYUNDAI
MARUTI ALTO 800 LXI,2014,180000,56207,PETROL,DEALER,MANUAL,SECOND OWNER,MARUTI
MARUTI ZEN LXI,2006,80000,70000,PETROL,INDIVIDUAL,MANUAL,FIRST OWNER,MARUTI
HONDA WR-V I-VTEC VX,2018,875000,1440,PETROL,INDIVIDUAL,MANUAL,FIRST OWNER,HONDA
MARUTI ALTO 800 LXI,2019,300000,50000,PETROL,INDIVIDUAL,MANUAL,FIRST OWNER,MARUTI
TOYOTA FORTUNER 2.8 2WD AT BSIV,2017,2800000,20000,DIESEL,INDIVIDUAL,AUTOMATIC,FIRST OWNER,TOYOTA
TOYOTA INNOVA CRYSTA 2.4 ZX MT,2017,1330000,91195,DIESEL,DEALER,MANUAL,FIRST OWNER,TOYOTA
VOLKSWAGEN POLO 1.5 TDI TRENDLINE,2011,220000,63657,DIESEL,DEALER,MANUAL,FIRST OWNER,VOLKSWAGEN
MAHINDRA VERITO VIBE 1.5 DCI D4,2013,250000,60000,DIESEL,INDIVIDUAL,MANUAL,FIRST OWNER,MAHINDRA
TOYOTA INNOVA 2.5 G (DIESEL) 7 SEATER,2016,919999,75000,DIESEL,DEALER,MANUAL,FIRST OWNER,TOYOTA
VOLKSWAGEN VENTO MAGNIFIC 1.6 HIGHLINE,2013,380000,97248,PETROL,DEALER,MANUAL,FIRST OWNER,VOLKSWAGEN
MARUTI SWIFT VDI,2012,450000,46000,DIESEL,INDIVIDUAL,MANUAL,FIRST OWNER,MARUTI
HYUNDAI VERNA 1.6 VTVT AT S OPTION,2016,770000,10000,PETROL,INDIVIDUAL,AUTOMATIC,FIRST OWNER,HYUNDAI
MARUTI SWIFT DZIRE LDI,2018,550000,80000,DIESEL,INDIVIDUAL,MANUAL,FIRST OWNER,MARUTI
TATA NEW SAFARI DICOR 2.2 GX 4X2,2011,320000,100000,DIESEL,INDIVIDUAL,MANUAL,SECOND OWNER,TATA
MARUTI SX4 VXI BSIV,2013,400000,35000,PETROL,INDIVIDUAL,MANUAL,FIRST OWNER,MARUTI
MARUTI CELERIO VXI AT,2017,450000,50000,PETROL,INDIVIDUAL,AUTOMATIC,FIRST OWNER,MARUTI
MARUTI SX4 ZDI,2011,220000,90000,DIESEL,INDIVIDUAL,MANUAL,THIRD OWNER,MARUTI
MAHINDRA XUV500 W8 2WD,2012,400000,150000,DIESEL,INDIVIDUAL,MANUAL,SECOND OWNER,MAHINDRA
HYUNDAI VERNA 1.6 SX VTVT (O),2013,530000,89000,PETROL,INDIVIDUAL,MANUAL,SECOND OWNER,HYUNDAI
MARUTI SWIFT DZIRE VDI,2014,390000,60000,DIESEL,INDIVIDUAL,MANUAL,SECOND OWNER,MARUTI
FIAT GRANDE PUNTO 1.3 DYNAMIC (DIESEL),2012,185000,100000,DIESEL,INDIVIDUAL,MANUAL,SECOND OWNER,FIAT
MARUTI SX4 VXI BSIV,2012,300000,100000,PETROL,INDIVIDUAL,MANUAL,SECOND OWNER,MARUTI
MARUTI SWIFT VDI BSIV,2014,575000,90000,DIESEL,INDIVIDUAL,MANUAL,SECOND OWNER,MARUTI
MARUTI WAGON R STINGRAY VXI,2014,300000,75000,PETROL,INDIVIDUAL,MANUAL,FIRST OWNER,MARUTI
TOYOTA ETIOS LIVA 1.4 VD,2017,425000,36000,DIESEL,DEALER,MANUAL,FIRST OWNER,TOYOTA
HYUNDAI XCENT 1.2 KAPPA SX,2016,350000,12000,PETROL,INDIVIDUAL,MANUAL,FIRST OWNER,HYUNDAI
HONDA AMAZE VX O IDTEC,2017,550000,12997,DIESEL,DEALER,MANUAL,FIRST OWNER,HONDA
MARUTI CIAZ 1.4 AT ZETA,2017,500000,40000,PETROL,INDIVIDUAL,AUTOMATIC,FIRST OWNER,MARUTI
MAHINDRA SCORPIO S4 4WD,2015,600000,60000,DIESEL,INDIVIDUAL,MANUAL,FIRST OWNER,MAHINDRA
MAHINDRA QUANTO C8,2013,300000,25000,DIESEL,INDIVIDUAL,MANUAL,SECOND OWNER,MAHINDRA
HYUNDAI VERNA CRDI 1.6 SX OPTION,2018,1150000,26430,DIESEL,DEALER,MANUAL,FIRST OWNER,HYUNDAI
MARUTI SWIFT 1.3 VXI ABS,2015,475000,24600,PETROL,DEALER,MANUAL,FIRST OWNER,MARUTI
MARUTI WAGON R LXI,2011,260000,28481,PETROL,DEALER,MANUAL,FIRST OWNER,MARUTI
FORD ECOSPORT 1.0 ECOBOOST TITANIUM OPTIONAL,2013,350000,100000,PETROL,INDIVIDUAL,MANUAL,FIRST OWNER,FORD
MAHINDRA XUV500 W8 2WD,2013,750000,41988,DIESEL,DEALER,MANUAL,FIRST OWNER,MAHINDRA
MARUTI WAGON R LXI,2009,180000,30375,PETROL,DEALER,MANUAL,FIRST OWNER,MARUTI
RENAULT KWID CLIMBER 1.0 AMT BSIV,2017,350000,7658,PETROL,DEALER,AUTOMATIC,FIRST OWNER,RENAULT
MARUTI SWIFT DZIRE VDI,2017,611000,34400,DIESEL,DEALER,MANUAL,FIRST OWNER,MARUTI
RENAULT KWID RXL BSIV,2017,325000,18500,PETROL,DEALER,MANUAL,FIRST OWNER,RENAULT
HYUNDAI EON 1.0 ERA PLUS,2012,225000,48000,PETROL,DEALER,MANUAL,FIRST OWNER,HYUNDAI
MARUTI WAGON R AMT VXI,2014,300000,28942,PETROL,DEALER,AUTOMATIC,FIRST OWNER,MARUTI
MAHINDRA BOLERO POWER PLUS SLX,2017,400000,50000,DIESEL,INDIVIDUAL,MANUAL,SECOND OWNER,MAHINDRA
MAHINDRA XUV500 W8 2WD,2012,711000,53600,DIESEL,DEALER,MANUAL,FIRST OWNER,MAHINDRA
TOYOTA INNOVA 2.5 G (DIESEL) 8 SEATER,2015,851000,53652,DIESEL,DEALER,MANUAL,FIRST OWNER,TOYOTA
MARUTI ERTIGA VXI,2014,500000,25000,PETROL,INDIVIDUAL,MANUAL,FIRST OWNER,MARUTI
